STARTAGE,n
15,10
16,13
17,54
18,107
19,191
20,406
21,620
22,874
23,1175
24,1455
25,1849
26,2150
27,2452
28,2943
29,3074
30,3448
31,3862
32,3940
33,4220
34,4444
35,4433
36,4421
37,4481
38,4325
39,4169
40,3906
41,3577
42,3312
43,3019
44,2868
45,2480
46,2181
47,1888
48,1684
49,1450
50,1279
51,1071
52,877
53,704
54,619
55,487
56,409
57,318
58,260
59,215
60,159
61,123
62,128
63,110
64,69
