LAD10CD,period,sr
E08000032,2000,182.641064238465
E08000024,2000,98.5557923897616
E06000010,2000,453.162396064594
E06000014,2000,239.880973380627
E08000017,2000,278.716223942945
E08000015,2000,95.232474350229
E08000034,2000,98.813761199161
E06000004,2000,180.145319579535
E08000016,2000,596.661475439038
E08000001,2000,285.85646882087
E08000021,2000,149.461959868485
E08000018,2000,372.372765830432
E08000012,2000,702.087341805609
E08000019,2000,405.29890982748
E07000036,2000,18.7727518326817
E09000009,2000,33.1748029188238
E08000003,2000,362.171933455052
E08000008,2000,155.369141092309
E06000009,2000,631.471363828915
E06000027,2000,229.14392061377
E06000033,2000,99.725792896099
E09000002,2000,93.0543043479716
E06000023,2000,324.53393464518
E07000121,2000,298.566434512681
E07000008,2000,208.383352654237
E08000036,2000,158.602800984251
E08000007,2000,85.9971985203793
E09000007,2000,269.533906313392
E07000082,2000,110.620939929823
E07000081,2000,288.776840144348
E08000035,2000,397.555633662471
E06000019,2000,104.344952366738
E07000092,2000,54.8595692110426
E08000025,2000,64.7482733115365
E06000001,2000,201.000239934121
E06000002,2000,406.097434676722
E08000031,2000,31.5221426941931
E07000226,2000,17.9903411228958
E07000169,2000,281.096623234956
E08000030,2000,74.2715954819839
E07000195,2000,64.9680473948015
E06000021,2000,127.735722369193
E07000170,2000,413.747533010435
E07000174,2000,1229.27763739617
E07000033,2000,383.248036390839
E07000171,2000,735.556305394472
E07000238,2000,152.233630284011
E07000235,2000,84.1259850111599
E07000168,2000,222.211945036259
E07000197,2000,50.3829913322265
E07000138,2000,423.194806664613
E07000236,2000,88.1663700729758
E07000237,2000,220.156861926223
E06000013,2000,110.94579711272
E06000012,2000,136.280026616141
E08000014,2000,179.30978952053
E07000034,2000,278.966577459821
E08000013,2000,224.100807000198
E07000126,2000,185.578398905072
E07000118,2000,262.883882980821
E08000009,2000,58.0071837907182
E08000005,2000,279.28570138732
E07000032,2000,82.6906284263652
E06000015,2000,155.584583185556
E08000004,2000,145.248890945939
E06000003,2000,157.454361346881
E07000028,2000,140.801348735457
E08000022,2000,43.1588771998305
E06000018,2000,230.775154611785
E06000016,2000,26.9992196761935
E07000123,2000,294.719953289096
E07000163,2000,166.049938812501
E06000007,2000,109.574803114384
E07000078,2000,166.96481589478
E06000024,2000,111.96968075795
E08000011,2000,172.79834473919
E07000011,2000,78.0937488996997
E09000018,2000,38.2842779098648
E09000011,2000,184.26711199477
E07000202,2000,127.9009196571
E06000025,2000,74.5513904845345
E09000005,2000,33.239618182647
E09000019,2000,181.060731909161
E07000127,2000,45.9211041078025
E07000037,2000,91.4727365625541
E06000022,2000,89.9542969187586
E07000044,2000,51.2232804140189
E06000026,2000,138.934132570213
E09000013,2000,186.245090005611
E09000028,2000,114.978037596902
E09000020,2000,87.210927198226
E09000032,2000,30.3167790003405
E09000022,2000,93.280659679833
E06000043,2000,277.897769126276
E07000142,2000,165.556463217447
E08000006,2000,217.696200196577
E07000027,2000,86.8503053321947
E09000026,2000,35.6535073255974
E07000178,2000,133.9551788594
E07000181,2000,39.6291769604842
E07000066,2000,60.83098733536
E07000076,2000,99.8835476773689
E07000080,2000,174.119281788215
E09000016,2000,33.9737908750071
E09000012,2000,65.5674382996026
E09000033,2000,92.6545294428815
E07000088,2000,101.662614569896
E07000064,2000,49.9473873085296
E07000128,2000,106.218242017638
E06000031,2000,146.03492598774
E07000063,2000,77.9894769855437
E07000061,2000,100.191017847811
E06000044,2000,96.9658105467131
E06000037,2000,14.005875533011
E07000112,2000,84.389900977821
E07000117,2000,291.774077128008
E07000125,2000,192.176925062648
E08000002,2000,125.033270196665
E07000209,2000,22.3194780963428
E07000079,2000,64.520815569031
E07000062,2000,199.828225570955
E09000006,2000,35.1948847024386
E07000216,2000,11.8913649266367
E09000030,2000,61.8422747740873
E07000134,2000,33.9030562060839
E07000045,2000,47.2958970742741
E07000119,2000,138.990297436918
E09000003,2000,35.2618198207574
E09000025,2000,44.6376486885575
E06000035,2000,146.0072098071
E07000041,2000,67.8540035281924
E07000224,2000,78.2971638443007
E07000219,2000,22.890624340515
E07000225,2000,77.666730057781
E07000179,2000,24.1843111929261
E09000023,2000,40.6328157073783
E09000004,2000,33.0206729936306
E07000116,2000,75.6393758642723
E07000124,2000,74.1219331538481
E07000070,2000,28.3759387319569
E07000067,2000,21.4731276929137
E08000010,2000,114.916688351024
E06000032,2000,37.631538502383
E07000187,2000,90.8242379852976
E07000192,2000,148.781430636492
E07000207,2000,30.8361157120377
E06000011,2000,70.2190258138998
E07000146,2000,103.198514591357
E06000005,2000,127.18680071566
E06000041,2000,27.7364171767394
E07000071,2000,45.1582239431035
E06000042,2000,71.1021365336987
E07000046,2000,114.173929307966
E07000043,2000,95.0454872404122
E07000177,2000,60.6211813982175
E07000077,2000,40.472020323551
E07000098,2000,33.4422990353771
E07000175,2000,219.47508835615
E07000148,2000,131.429514760331
E07000145,2000,158.979820340396
E07000234,2000,69.8251281829518
E07000099,2000,38.9832733190805
E07000173,2000,94.2931225016131
E07000108,2000,81.4811059874026
E07000096,2000,10.995061477687
E06000030,2000,73.7685641257751
E07000069,2000,36.4755328214523
E07000239,2000,154.867824574046
E07000094,2000,77.6424664128671
E09000027,2000,16.7373422448432
E09000021,2000,49.6060318171268
E07000200,2000,49.3630272901004
E08000027,2000,90.1577274467821
E09000017,2000,18.4516672928065
E07000038,2000,85.3852879140799
E07000107,2000,69.147093078363
E06000038,2000,49.4100014474044
E07000203,2000,56.7640968262407
E07000198,2000,68.6996581241624
E07000149,2000,24.7171806255479
E06000008,2000,237.728736096507
E08000033,2000,65.4460734119175
E07000220,2000,43.4805455450503
E09000014,2000,24.9290536635084
E07000180,2000,27.4038030638416
E07000135,2000,71.5947735815286
E06000017,2000,38.2716521872249
E07000073,2000,95.0610283350888
E08000029,2000,26.7045745415899
E07000039,2000,20.7679643871408
E07000110,2000,46.8511127741645
E08000028,2000,34.0868116224269
E06000006,2000,67.4143576724516
E07000122,2000,163.988896797912
E06000039,2000,36.7316891244085
E07000189,2000,65.1632701946449
E06000024,2005,253.898400341306
E07000188,2005,55.0271929808824
E07000113,2000,54.5653453658683
E06000023,2005,325.785037999107
E08000016,2005,493.253849529406
E09000008,2000,37.2602089697658
E07000188,2000,45.9433563449117
E08000011,2005,140.522168170773
E07000169,2005,253.169677686942
E09000011,2005,117.626586909894
E08000032,2005,241.762134311598
E07000214,2000,45.0553598592946
E07000035,2000,25.6026155720684
E07000034,2005,405.713106718138
E07000189,2005,176.970794671478
E07000010,2000,80.0558767126908
E06000027,2005,354.013200236121
E09000009,2005,34.4246003832496
E07000172,2000,72.7528365503854
E06000018,2005,208.489815002364
E07000008,2005,297.344220032596
E09000007,2005,201.607277202676
E07000143,2005,47.3369951980371
E06000022,2005,138.908471781992
E09000008,2005,60.8009156162463
E08000023,2000,25.7444534012353
E07000194,2005,55.2578141604761
E07000192,2005,179.84176839892
E06000020,2000,25.6683883761463
E07000041,2005,132.562776655452
E07000221,2000,36.7865684645283
E09000028,2005,104.230137428794
E07000087,2000,71.1178269736459
E06000044,2005,159.438660294052
E09000005,2005,45.3109872154814
E09000020,2005,112.898369183551
E09000033,2005,118.400758127345
E08000012,2005,595.392079170818
E07000174,2005,836.338812023004
E07000033,2005,231.472236505027
E07000147,2005,66.96283902333
E08000019,2005,253.702184591345
E06000026,2005,191.909223495517
E09000013,2005,254.146149054948
E07000165,2000,55.6007674617342
E08000025,2005,87.9698584892475
E08000027,2005,332.901160044537
E07000225,2005,75.9857018857358
E08000035,2005,246.98135314333
E07000213,2000,84.3956260775857
E09000019,2005,161.594139479059
E07000081,2005,251.901112842248
E08000017,2005,425.031900021012
E08000021,2005,106.541706406338
E08000003,2005,462.251109495677
E07000027,2005,200.330945490903
E06000011,2005,109.883191450461
E07000217,2005,42.6476065688099
E07000114,2005,147.634310937907
E08000004,2005,192.057995421103
E08000002,2005,187.2422148972
E06000030,2005,158.580988489354
E07000166,2000,61.3402852323263
E07000114,2000,116.934203193304
E07000106,2000,48.0847283849429
E07000138,2005,396.312981690143
E06000010,2005,355.433562464851
E07000235,2005,139.087227694476
E06000043,2005,248.194152791908
E07000199,2000,27.9153268310867
E06000016,2005,118.004998114881
E07000111,2000,40.5582591172699
E07000116,2005,57.06248477088
E09000003,2005,27.2424293082807
E06000014,2005,371.109281251126
