var,IRR
(Intercept),5.900 (5.253-6.625)
time2,1.069 (1.062-1.077)
covidTRUE,0.647 (0.616-0.679)
slope2,0.905 (0.867-0.945)
"harmonic(s1, 2, period = 1)1",0.960 (0.947-0.974)
"harmonic(s1, 2, period = 1)2",1.002 (0.988-1.016)
"harmonic(s1, 2, period = 1)3",0.921 (0.909-0.934)
"harmonic(s1, 2, period = 1)4",1.012 (0.998-1.026)
