STARTAGE,n
15,10
16,13
17,54
18,107
19,189
20,406
21,619
22,874
23,1180
24,1457
25,1851
26,2153
27,2452
28,2939
29,3081
30,3461
31,3863
32,3940
33,4234
34,4448
35,4434
36,4427
37,4483
38,4331
39,4177
40,3903
41,3579
42,3303
43,3023
44,2850
45,2473
46,2174
47,1881
48,1682
49,1451
50,1281
51,1071
52,873
53,699
54,612
55,488
56,409
57,316
58,257
59,212
60,160
61,123
62,129
63,109
64,69
