STARTAGE,n
15,10
16,13
17,54
18,107
19,192
20,408
21,624
22,880
23,1185
24,1472
25,1867
26,2175
27,2498
28,2993
29,3113
30,3523
31,3943
32,4043
33,4334
34,4547
35,4565
36,4559
37,4660
38,4489
39,4393
40,4117
41,3808
42,3508
43,3229
44,3071
45,2666
46,2357
47,2020
48,1848
49,1573
50,1411
51,1198
52,989
53,800
54,697
55,542
56,477
57,378
58,308
59,255
60,191
61,143
62,142
63,119
64,87
