year,mth,all_drd,opioid_drd,non_opioid_drd,abscess,cellulitis,other_ssti,phlebitis,irid,all_staph,skin_staph,all_strep,skin_strep,tcodes,f11,other_staph,other_strep,time,covid,sstvi,invasive
2014,Feb,257,145,112,98,55,28,76,298,2381,591,1443,290,1108,45,1790,1153,26,FALSE,257,41
2014,Mar,240,144,96,119,68,35,72,327,2581,642,1398,326,1224,51,1939,1072,27,FALSE,294,33
2014,Apr,266,169,97,117,87,43,78,370,2673,704,1454,320,1226,69,1969,1134,28,FALSE,325,45
2014,May,277,163,114,131,85,40,79,386,2755,784,1465,345,1335,76,1971,1120,29,FALSE,335,51
2014,Jun,315,156,159,107,89,45,87,382,2658,704,1369,324,1252,82,1954,1045,30,FALSE,328,54
2014,Jul,303,169,134,119,88,40,83,376,2922,798,1472,365,1303,77,2124,1107,31,FALSE,330,46
2014,Aug,258,136,122,134,75,53,75,387,2903,761,1337,322,1271,76,2142,1015,32,FALSE,337,50
2014,Sep,247,136,111,145,94,50,85,415,2909,801,1270,285,1240,73,2108,985,33,FALSE,374,41
2014,Oct,290,162,128,127,91,42,89,407,2921,762,1348,320,1166,67,2159,1028,34,FALSE,349,58
2014,Nov,278,143,135,168,88,26,68,399,2667,715,1378,309,1152,64,1952,1069,35,FALSE,350,49
2014,Dec,295,166,129,114,89,25,77,354,2678,678,1428,288,948,52,2000,1140,36,FALSE,305,49
2015,Jan,319,174,145,130,68,22,97,362,2823,691,1512,335,1044,71,2132,1177,37,FALSE,317,45
2015,Feb,301,174,127,128,71,24,59,335,2640,652,1531,315,1028,64,1988,1216,38,FALSE,282,53
2015,Mar,329,183,146,113,72,35,68,334,2789,736,1637,364,1164,78,2053,1273,39,FALSE,288,46
2015,Apr,315,191,124,138,80,35,86,395,2831,699,1690,408,1209,61,2132,1282,40,FALSE,339,56
2015,May,324,169,155,154,75,33,95,419,2795,721,1552,339,1328,77,2074,1213,41,FALSE,357,62
2015,Jun,310,167,143,148,104,55,95,462,2835,745,1566,367,1326,77,2090,1199,42,FALSE,402,60
2015,Jul,307,168,139,148,93,42,109,456,2995,818,1515,418,1334,79,2177,1097,43,FALSE,392,64
2015,Aug,325,186,139,148,115,46,100,480,3000,804,1450,370,1299,101,2196,1080,44,FALSE,409,71
2015,Sep,309,168,141,153,99,45,92,451,3034,784,1419,351,1225,76,2250,1068,45,FALSE,389,62
2015,Oct,290,160,130,161,105,49,78,455,3063,763,1503,347,1250,88,2300,1156,46,FALSE,393,62
2015,Nov,272,155,117,161,95,44,80,444,2955,791,1459,359,1194,82,2164,1100,47,FALSE,380,64
2015,Dec,346,201,145,166,118,28,100,464,2940,745,1595,344,1061,78,2195,1251,48,FALSE,412,52
2016,Jan,323,177,146,174,91,43,100,450,2928,792,1608,407,1026,67,2136,1201,49,FALSE,408,42
2016,Feb,324,187,137,152,92,46,95,445,2734,712,1625,374,1015,67,2022,1251,50,FALSE,385,60
2016,Mar,341,204,137,176,102,41,93,460,2850,733,1822,424,1107,67,2117,1398,51,FALSE,412,48
2016,Apr,331,196,135,159,83,39,91,429,2958,754,1898,424,1063,54,2204,1474,52,FALSE,372,57
2016,May,359,197,162,144,105,38,96,436,3114,851,1875,424,1232,80,2263,1451,53,FALSE,383,53
2016,Jun,331,171,160,180,126,63,84,534,3013,779,1847,432,1263,96,2234,1415,54,FALSE,453,81
2016,Jul,325,173,152,208,118,55,103,556,3271,899,1901,443,1193,92,2372,1458,55,FALSE,484,72
2016,Aug,353,204,149,199,104,46,90,514,3230,838,1729,421,1192,100,2392,1308,56,FALSE,439,75
2016,Sep,293,158,135,199,138,42,89,548,3083,874,1577,409,1191,60,2209,1168,57,FALSE,468,80
2016,Oct,339,193,146,176,115,54,101,526,3060,760,1784,355,1078,80,2300,1429,58,FALSE,446,80
2016,Nov,317,163,154,165,100,51,87,467,3065,800,1790,386,1025,52,2265,1404,59,FALSE,403,64
2016,Dec,335,176,159,201,112,45,102,545,2930,752,1784,376,1001,65,2178,1408,60,FALSE,460,85
2017,Jan,328,174,154,182,90,65,80,480,2885,712,1911,413,960,58,2173,1498,61,FALSE,417,63
2017,Feb,289,154,135,149,87,41,91,445,2682,649,1822,381,952,65,2033,1441,62,FALSE,368,77
2017,Mar,345,186,159,185,96,57,93,511,2936,742,1891,360,1203,69,2194,1531,63,FALSE,431,80
2017,Apr,357,197,160,174,101,37,73,524,2874,721,2013,407,1154,76,2153,1606,64,FALSE,385,139
2017,May,369,203,166,196,123,65,89,594,3095,813,1931,397,1234,78,2282,1534,65,FALSE,473,121
2017,Jun,300,156,144,186,106,54,89,581,3184,740,1987,397,1286,74,2444,1590,66,FALSE,435,146
2017,Jul,324,171,153,175,124,59,98,602,3372,791,1988,383,1365,80,2581,1605,67,FALSE,456,146
2017,Aug,312,170,142,180,103,61,75,561,3247,765,1904,383,1290,59,2482,1521,68,FALSE,419,142
