STARTAGE,n
15,10
16,26
17,71
18,166
19,294
20,530
21,799
22,1130
23,1447
24,1810
25,2239
26,2646
27,2941
28,3570
29,3728
30,4110
31,4519
32,4570
33,4820
34,4998
35,5086
36,4972
37,4986
38,4852
39,4662
40,4332
41,4081
42,3673
43,3369
44,3217
45,2791
46,2439
47,2096
48,1878
49,1610
50,1451
51,1213
52,993
53,784
54,714
55,564
56,454
57,375
58,300
59,253
60,181
61,140
62,147
63,128
64,87
