LAD10CD,period,sr
E08000032,2000,217.530777274929
E07000169,2000,308.29282417809
E06000014,2000,271.445544616742
E08000019,2000,396.103338590254
E06000011,2000,85.6045537033007
E07000168,2000,228.630275083252
E07000165,2000,70.3952722950662
E08000035,2000,420.465149016902
E07000163,2000,291.735891447716
E07000122,2000,185.467423726128
E06000002,2000,466.67548183287
E06000003,2000,166.437180121751
E06000004,2000,224.288064052709
E06000001,2000,265.34080178329
E07000026,2000,51.7435969217357
E08000023,2000,39.3484890349127
E08000033,2000,73.5452169936426
E08000034,2000,111.513088531657
E07000028,2000,175.232631875487
E07000030,2000,80.1635336085615
E08000024,2000,117.557562943255
E08000036,2000,168.607663453789
E06000005,2000,149.178438616433
E08000021,2000,172.44544525936
E08000022,2000,49.1508917298298
E06000010,2000,540.903669958585
E08000018,2000,416.904368550492
E08000017,2000,309.06188905452
E07000171,2000,633.801412992444
E07000033,2000,412.774658219789
E06000012,2000,167.580228147602
E06000013,2000,124.820506089299
E08000016,2000,672.163366559598
E07000175,2000,235.893949826191
E07000176,2000,44.8161502655626
E06000018,2000,259.603744733843
E07000036,2000,24.3885903023986
E07000173,2000,97.9760803839332
E07000034,2000,294.297189718964
E07000038,2000,98.9559586277913
E07000170,2000,472.00376946523
E07000174,2000,1285.36503062692
E06000015,2000,179.073323167353
E07000032,2000,87.3182770450257
E07000141,2000,62.6906996500053
E07000142,2000,284.808895538272
E07000139,2000,40.2463074012959
E07000138,2000,683.682235605599
E06000016,2000,32.3879822423113
E07000130,2000,20.2692915735919
E07000129,2000,36.2710622422097
E08000015,2000,101.363974880651
E06000007,2000,141.062954137363
E08000013,2000,253.322768376653
E08000012,2000,838.757517329894
E08000011,2000,202.025627178044
E08000003,2000,424.178601401713
E08000005,2000,342.339785526095
E08000014,2000,202.080918623642
E07000125,2000,223.532418092615
E07000117,2000,367.596884482441
E08000004,2000,132.315871426612
E07000037,2000,104.71722450867
E06000006,2000,80.4177980124633
E07000126,2000,259.801242694038
E07000118,2000,385.986919319846
E07000123,2000,404.507159979761
E08000006,2000,249.476044827758
E08000010,2000,211.271165386918
E08000007,2000,106.888184420376
E08000009,2000,67.9358356422314
E07000128,2000,130.696708875719
E08000001,2000,355.488803438006
E06000008,2000,324.742255905047
E07000120,2000,67.4185545267146
E07000228,2000,22.4454261026246
E08000002,2000,144.338932103876
E06000009,2000,715.764730492712
E07000127,2000,61.4743295724979
E08000008,2000,216.00588709962
E07000119,2000,158.233913247817
E07000121,2000,399.223545148988
E07000031,2000,37.4590806197957
E07000027,2000,127.446090943017
E06000033,2000,141.485333027272
E07000075,2000,35.8389471297883
E07000146,2000,120.059875262818
E07000010,2000,80.0558767126908
E07000066,2000,71.928467730407
E06000034,2000,22.9664776833888
E07000071,2000,59.7293422198177
E06000031,2000,157.454070728265
E07000148,2000,140.447750821426
E07000202,2000,169.015318748968
E07000200,2000,80.4811405204741
E07000008,2000,237.150707914833
E07000203,2000,40.8965374925734
E07000143,2000,69.6293263132179
E07000144,2000,58.5100155401001
E09000002,2000,114.468152646886
E07000011,2000,94.6281739767262
E07000073,2000,100.847692038844
E07000077,2000,49.6135518203933
E07000012,2000,35.5734031884835
E07000096,2000,21.7748101580915
E09000017,2000,21.2465400358346
E07000099,2000,49.2201702600788
E09000014,2000,35.7942780906257
E09000003,2000,38.0233314301543
E09000019,2000,215.671373383021
E09000007,2000,344.400803577412
E09000028,2000,138.768738607842
E09000010,2000,10.2416076619229
E09000021,2000,61.3395006578332
E09000032,2000,42.3487551084905
E09000027,2000,27.2889839472434
E09000024,2000,28.4487903417792
E07000207,2000,47.2308559395893
E09000029,2000,10.6614165365319
E09000009,2000,37.595352190733
E09000023,2000,39.3428029042737
E09000011,2000,202.606140476657
E09000006,2000,49.9938405824917
E09000008,2000,46.2526561831294
E09000026,2000,47.9054684159364
E07000068,2000,81.4641829142454
E09000016,2000,42.9011395944683
E09000022,2000,115.48607246627
E09000031,2000,31.1465951144968
E09000033,2000,111.975891486265
E09000005,2000,37.39221045433
E09000020,2000,92.6005287795451
E09000012,2000,72.7773353960227
E09000025,2000,53.7755258066509
E09000030,2000,67.2770304356764
E09000013,2000,207.472775039921
E06000024,2000,140.608597459925
E07000188,2000,68.192090862475
E07000189,2000,72.8574756044471
E07000187,2000,100.380675230636
E07000078,2000,198.466333158574
E07000079,2000,80.7213937613056
E06000023,2000,398.651222257957
E06000027,2000,259.822079859639
E07000043,2000,167.810726311967
E06000022,2000,108.380778587578
E07000081,2000,313.409668156278
E07000082,2000,115.014814724998
E07000083,2000,55.260806827697
E07000040,2000,46.2727880541184
E07000041,2000,72.1888354316568
E06000026,2000,143.935128887725
E07000047,2000,87.0044372262986
E06000030,2000,78.6159742210399
E06000025,2000,95.0576981752682
E07000209,2000,30.7127677495261
E09000018,2000,41.3700347339858
E07000217,2000,26.9067349292131
E07000178,2000,181.098071009673
E06000039,2000,42.3785182944385
E06000040,2000,12.7505625937834
E06000042,2000,77.420489043648
E07000061,2000,138.445325938958
E07000065,2000,42.4379037844032
E07000062,2000,242.944313196944
E07000064,2000,60.2319912576028
E07000092,2000,62.1401220171404
E06000043,2000,327.084140931054
E07000223,2000,49.7284921016235
E07000181,2000,74.4376673900788
E07000088,2000,120.806539134613
E07000087,2000,79.7451107545156
E07000090,2000,33.5892101941974
E06000044,2000,100.49796542725
E06000037,2000,20.6796976237251
E06000038,2000,67.6466779892443
E07000084,2000,11.9235693844132
E07000094,2000,83.2447898384567
E07000093,2000,38.3791899341997
E07000107,2000,76.7799988526498
E06000035,2000,165.146842059589
E09000004,2000,39.7458888392492
E07000226,2000,17.9903411228958
E07000229,2000,49.6237107884611
E07000224,2000,95.7412954305992
E07000225,2000,67.9290416962459
E07000180,2000,36.4626415443135
E07000179,2000,33.5930821322583
E07000177,2000,76.6573508446969
E07000213,2000,70.5505318302274
E07000108,2000,104.782051488433
E07000112,2000,97.8912394896459
E07000106,2000,61.0158989734491
E07000114,2000,130.830252444852
E07000116,2000,95.9666910714327
E07000111,2000,33.7170059865984
E07000110,2000,53.5729383542307
E07000115,2000,39.7605280915166
E08000030,2000,83.5297645866274
E08000031,2000,44.0327916252566
E07000222,2000,43.3128988971463
E07000197,2000,45.6373379172399
E07000192,2000,164.573678283373
E07000196,2000,49.1808494741303
E06000021,2000,159.651949728251
E07000195,2000,67.8350419282832
E07000039,2000,30.6304184870035
E08000025,2000,76.1685860315769
E07000220,2000,52.3566430734848
E08000026,2000,16.1076734407917
E06000020,2000,28.034094180324
E08000027,2000,99.1098488559149
E06000019,2000,129.129308382261
E08000028,2000,40.7784415010641
E08000029,2000,32.0309915071648
E07000239,2000,172.122258313665
E07000234,2000,80.4665207830917
E07000238,2000,163.955797005783
E07000237,2000,243.429726305951
E07000235,2000,84.1259850111599
E07000164,2000,107.53974510716
E07000167,2000,50.0584639379187
E07000029,2000,23.3481792093264
E07000198,2000,68.6996581241624
E07000199,2000,37.1082209551069
E07000219,2000,22.890624340515
E07000236,2000,88.1663700729758
E07000221,2000,36.7865684645283
E07000172,2000,76.3690980810057
E07000137,2000,60.055584531616
E07000134,2000,33.9030562060839
E08000015,1995,7.95801038531521
E07000069,2000,38.416037420936
E06000032,2000,37.631538502383
E07000076,2000,108.677333629868
E07000140,2000,26.7344348136558
E07000145,2000,171.560808398865
E07000149,2000,24.7171806255479
E07000009,2000,52.9450694904037
E07000072,2000,29.5826533096381
E07000070,2000,28.3759387319569
E07000103,2000,30.5487013118472
E09000015,2000,7.0495415810736
E07000046,2000,134.190873872047
E07000080,2000,180.079024572608
E07000044,2000,51.2232804140189
E06000041,2000,33.3108904964852
E07000102,2000,26.0017096731421
E07000211,2000,59.498907183017
E07000210,2000,72.9813515154207
E07000216,2000,11.8913649266367
E07000063,2000,89.6652804410872
E07000091,2000,24.9800159872102
E07000131,2000,25.0093785169439
E07000113,2000,64.0497654723157
E07000109,2000,27.0408297953402
E07000215,2000,31.8821635236167
E09000001,2000,184.70631695604
E07000045,2000,47.2958970742741
E07000098,2000,37.2663143529414
E07000067,2000,21.4731276929137
E07000124,2000,74.1219331538481
E06000036,2000,25.0723965450238
E07000193,2000,30.8429164184929
E07000212,2000,27.514813509442
E07000214,2000,45.0553598592946
E07000227,2000,16.366612111293
