Age,region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Age 44,North West,111360,101995,94805,90966,88246,86120,87180,86723,85605,87976,90939,93556,94650,96940,100327,103843,104536,105924,106598,104167,104602,102634,103307,99551,102103,97837,91498,86706,84777,82725
Age 45,North West,84990,110548,101851,94561,90622,87833,85874,87018,86626,85491,87771,90683,93590,94665,96654,100252,103543,104407,105840,106527,103948,104274,102423,103142,99553,102014,97736,91521,86794,84663
Age 46,North West,83601,85000,110081,101751,94391,90397,87584,85836,86721,86426,85382,87383,90698,93533,94494,96495,99805,103545,104113,105780,106392,103719,104062,102103,103118,99586,101913,97703,91566,86766
Age 47,North West,85563,83317,84953,109398,101387,94015,89969,87227,85531,86549,86237,84991,87409,90612,93205,94393,96120,99720,103446,103933,105624,106061,103422,103820,102054,102967,99440,101762,97691,91387
Age 48,North West,81768,84965,83149,84780,108674,101115,93660,89681,86837,85348,86266,85853,84825,87226,90291,92981,93908,95864,99567,103394,103797,105303,105685,103137,103696,102017,102851,99366,101692,97497
Age 49,North West,75714,81454,84578,83028,84542,108037,100786,93404,89224,86530,85029,85893,85707,84498,86984,90106,92536,93721,95699,99496,103337,103475,104921,105477,103043,103666,101908,102842,99383,101540
Age 50,North West,72168,75256,81154,84084,82670,84331,107212,100484,92911,88947,85982,84702,85694,85343,84154,86671,89795,92199,93589,95413,99300,102970,103177,104692,105282,102788,103484,101802,102805,99197
Age 51,North West,74918,71952,74920,80797,83586,82365,84113,106600,99956,92609,88565,85740,84341,85404,84891,83659,86310,89565,91897,93373,95089,98919,102616,102844,104633,105067,102542,103322,101705,102613
Age 52,North West,76032,74585,71725,74472,80347,83006,82033,83869,105435,99561,92195,88246,85505,83885,85076,84419,83173,86102,89267,91458,93138,94676,98529,102344,102651,104378,104914,102448,103205,101556
Age 53,North West,75636,75622,74223,71401,74047,79920,82480,81715,83413,104764,99074,91757,87911,85043,83363,84642,83964,82790,85872,88970,91174,92713,94339,98120,102110,102418,104080,104690,102341,102922
Age 54,North West,73863,75258,75215,73913,71033,73530,79468,81818,81217,83235,103604,98512,91369,87356,84594,82769,84154,83462,82406,85457,88699,90688,92306,93940,97906,101826,102080,103891,104410,102188
Age 55,North West,73565,73576,74909,74841,73537,70652,73051,79048,81037,80817,82896,103358,97837,90717,86848,84148,82080,83598,83129,82032,85067,88315,90273,91817,93561,97568,101514,101719,103603,104047
Age 56,North West,71257,73094,73206,74423,74281,73028,70178,72499,78287,80311,80388,82217,102999,97065,89885,86273,83558,81394,83181,82575,81522,84655,87690,89901,91452,93251,97112,101049,101380,103123
Age 57,North West,69278,70646,72499,72594,73737,73639,72370,69591,71818,77585,79564,79790,81422,102560,96189,89279,85719,82907,80858,82738,82113,81151,84077,87286,89511,91035,92866,96653,100602,100892
Age 58,North West,68154,68585,70030,71806,71995,73129,72920,71749,69084,71078,76977,79131,79067,80590,102022,95385,88503,84933,82468,80184,82276,81566,80530,83536,86903,89138,90631,92368,96188,100112
Age 59,North West,70332,67566,67936,69373,71126,71367,72475,72308,71157,68522,70420,76385,78582,78290,79752,101599,94429,87556,84328,82001,79595,81651,80987,80043,83146,86413,88719,89995,91961,95685
Age 60,North West,71226,69487,66849,67194,68526,70307,70594,71682,71431,70469,67874,69828,75755,77951,77238,78741,100685,93615,86755,83664,81420,78947,80991,80403,79594,82697,85939,88202,89521,91361
Age 61,North West,71251,70211,68671,66157,66448,67779,69380,69898,70869,70627,69770,67148,69242,75043,77092,76314,77410,100194,92697,85946,82960,80656,78270,80375,79884,79104,82090,85336,87641,88944
Age 62,North West,69990,70096,69081,67671,65204,65525,66842,68429,68986,69976,69749,68909,66415,68528,74036,76342,75068,76516,99647,91703,85201,82204,79784,77607,79706,79228,78542,81346,84723,87031
Age 63,North West,68672,68730,68907,67926,66682,64279,64532,65930,67487,68171,69062,68852,68007,65535,67577,73062,75336,74243,75685,99028,90683,84347,81382,79054,76904,79014,78530,77869,80639,84015
Age 64,North West,69035,67416,67496,67708,66688,65537,63277,63502,64981,66494,67213,68088,67921,67016,64351,66668,71882,74617,73386,74763,98427,89683,83431,80549,78344,76239,78228,77863,77222,79958
Age 65,North West,69188,67530,65984,66038,66427,65380,64302,62345,62450,64042,65574,66105,67095,66818,65897,63139,65651,70947,73895,72528,73689,97340,88665,82572,79701,77535,75348,77321,77143,76407
Age 66,North West,66765,67595,66045,64491,64599,65119,64096,63143,61296,61330,63079,64361,64931,66007,65625,64664,61968,64797,69992,73179,71498,72740,96152,87662,81590,78707,76586,74468,76564,76196
Age 67,North West,66802,64983,65750,64264,62883,63018,63621,62683,61755,60149,60221,61913,63244,63733,64819,64272,63488,60939,63844,69042,72359,70458,71723,94885,86628,80569,77715,75632,73695,75518
Age 68,North West,65941,64942,63299,64085,62532,61291,61427,62148,61327,60504,59072,58891,60643,61930,62327,63461,63038,62425,59867,62917,68018,71323,69392,70671,93655,85585,79360,76702,74740,72600
Age 69,North West,68515,63948,62968,61356,62237,60791,59615,59836,60510,59947,59246,57738,57609,59225,60531,60869,62069,61883,61188,58782,61860,66894,70116,68290,69553,92298,84343,78235,75658,73550
Age 70,North West,69406,66248,61907,60909,59420,60178,58882,57751,58084,58852,58462,57783,56277,56276,57805,59064,59472,60808,60622,60095,57612,60767,65784,68854,67079,68454,90756,82982,77103,74408
Age 71,North West,69970,67033,64046,59664,58824,57369,58035,57036,55943,56378,57220,56855,56277,54718,54845,56307,57631,58028,59451,59341,58829,56389,59531,64501,67524,65807,67250,89249,81525,75600
Age 72,North West,45443,67043,64479,61471,57426,56515,55258,55960,55062,53994,54618,55459,55163,54588,53029,53293,54809,56171,56604,58069,57959,57497,55141,58218,63140,66230,64481,65945,87636,79749
Age 73,North West,42009,43820,64208,61858,59048,55014,54171,53138,53730,53110,52042,52723,53588,53355,52945,51345,51725,53252,54691,55089,56673,56587,56077,53795,56847,61652,64746,63087,64622,85644
Age 74,North West,45263,40107,42045,61002,59143,56458,52559,51933,50920,51591,51171,50116,50786,51642,51574,51080,49563,50145,51662,53087,53501,55241,55079,54732,52412,55400,60051,63241,61577,62977
Age 75,North West,46526,42971,38167,40106,57936,56296,53840,50211,49413,48680,49281,49007,48049,48700,49779,49698,49251,47827,48401,50044,51490,51858,53705,53502,53158,50965,53893,58310,61555,59784
Age 76,North West,48286,43950,40589,36126,38184,54796,53467,51187,47642,46986,46400,46973,46780,45978,46650,47705,47797,47428,46015,46668,48368,49878,50178,52061,51889,51531,49363,52273,56559,59510
Age 77,North West,46187,45453,41149,38091,34037,36138,51562,50622,48372,45131,44612,44000,44689,44512,43785,44586,45656,45866,45535,44180,44935,46682,48169,48487,50219,50085,49747,47657,50592,54499
Age 78,North West,42377,43136,42468,38494,35782,31955,34202,48369,47721,45658,42653,42198,41588,42253,42121,41654,42439,43535,43851,43611,42290,43054,44830,46303,46549,48370,48128,47820,45928,48589
Age 79,North West,38563,39402,40090,39535,35849,33319,29823,32310,45028,44877,43032,40111,39687,39154,39884,39722,39458,40273,41390,41774,41595,40550,41065,42939,44230,44618,46377,46021,45811,43784
Age 80,North West,35539,35574,36477,37160,36563,33131,30883,27668,30410,41790,42044,40115,37496,37099,36702,37429,37410,37206,38065,39212,39645,39495,38497,39120,40818,42178,42530,44172,43957,43347
Age 81,North West,32847,32613,32673,33374,34098,33560,30443,28471,25589,28540,38560,39032,37222,34808,34603,34305,35015,34988,34795,35843,37031,37487,37266,36455,37013,38619,39865,40242,41960,41425
Age 82,North West,30332,29930,29660,29609,30336,31022,30586,27775,26043,23487,26698,35333,35948,34220,32261,32024,31826,32551,32548,32545,33507,34692,35142,35088,34222,34736,36272,37442,37957,39184
Age 83,North West,26790,27339,27002,26982,26746,27424,28028,27770,25142,23699,21422,24566,32161,32788,31337,29747,29538,29323,30095,30177,30217,31067,32119,32843,32593,31877,32382,33836,35065,35307
Age 84,North West,23081,23918,24467,24175,24258,23910,24519,25194,24799,22565,21403,19305,22530,29041,29757,28497,27091,27032,26810,27696,27697,27819,28517,29758,30235,30198,29463,29797,31434,32111
Age 85,North West,-,-,-,-,-,-,-,-,-,-,20111,19068,17339,20403,25861,26817,25727,24463,24443,24383,25231,25398,25307,26124,27115,27653,27563,27036,27479,28595
Age 86,North West,-,-,-,-,-,-,-,-,-,-,19617,17717,16827,15330,18409,22916,23889,22995,21966,22049,22035,22733,22881,23009,23555,24583,24980,24885,24514,24653
Age 87,North West,-,-,-,-,-,-,-,-,-,-,17250,17142,15423,14713,13448,16468,20016,21067,20320,19598,19585,19743,20209,20545,20487,21098,21994,22264,22456,21660
Age 88,North West,-,-,-,-,-,-,-,-,-,-,14630,14798,14747,13175,12634,11642,14558,17236,18328,17806,17233,17275,17404,17886,17990,18076,18542,19240,19831,19529
Age 89,North West,-,-,-,-,-,-,-,-,-,-,11858,12413,12581,12523,11184,10788,9964,12769,14618,15827,15470,14957,14829,15304,15432,15680,15777,15990,16879,16974
Aged 90+,North West,-,-,-,-,-,-,-,-,-,-,41423,42152,43045,43848,44651,44385,43817,42219,43781,47151,50972,53872,54825,57182,57817,59413,60196,60778,62871,62796
All Ages,Yorkshire and The Humber,4936100,4949033,4954142,4960087,4960575,4961254,4957561,4957703,4956325,4958609,4976643,5000111,5026314,5063199,5108408,5134016,5164138,5198675,5223344,5254788,5288212,5316897,5337940,5360117,5390211,5425370,5450130,5479615,5502967,5526350
Age 0,Yorkshire and The Humber,68667,67963,65282,65018,62297,61648,61403,59663,58551,56444,54826,55430,56529,59338,60325,61843,63358,65785,65743,66321,66066,67975,65630,64533,64176,64454,63402,61397,59224,57578
Age 1,Yorkshire and The Humber,66725,68679,67851,65002,64400,62130,61718,61362,59581,58399,56421,55155,55670,56818,59504,60349,62177,63622,65789,65851,66494,66350,68268,66192,65041,64831,64884,64145,61933,59862
Age 2,Yorkshire and The Humber,66199,67026,68843,67959,65074,64378,62049,61970,61391,59537,58371,56918,55577,56015,57068,59533,60643,62686,63842,65876,66101,66776,66707,68560,66587,65518,65343,65491,64677,62522
Age 3,Yorkshire and The Humber,67832,66358,67123,68914,67813,64973,64230,61950,61974,61518,59748,58828,57330,55990,56330,57173,59716,60788,63062,63988,65998,66305,67000,67064,68934,67063,65953,65952,65963,65154
Age 4,Yorkshire and The Humber,66117,67957,66529,67349,69030,67871,64969,64238,61982,62214,61627,60165,59360,57648,56346,56467,57318,59705,60866,63325,64286,66144,66509,67296,67328,69371,67559,66311,66338,66401
Age 5,Yorkshire and The Humber,65500,66387,68097,66760,67413,69152,67853,65058,64104,61927,62571,62010,60615,59833,57854,56484,56632,57358,59748,60870,63667,64362,66306,66725,67558,67665,69648,67922,66548,66707
Age 6,Yorkshire and The Humber,64713,65608,66449,68081,66763,67470,69060,67729,64986,64050,62018,62863,62272,60977,59995,57979,56783,56678,57466,59738,60908,63731,64509,66477,66977,67929,68015,69985,68304,66852
Age 7,Yorkshire and The Humber,62451,64790,65554,66502,67963,66794,67317,68926,67691,64837,64044,62218,63226,62650,61176,60219,58233,56950,56846,57538,59723,61031,63886,64662,66767,67238,68174,68286,70187,68526
Age 8,Yorkshire and The Humber,62245,62585,64940,65642,66568,67954,66711,67379,68884,67519,64862,64309,62390,63621,62829,61317,60587,58497,57204,56995,57576,59812,61155,64061,64859,67043,67533,68382,68408,70448
Age 9,Yorkshire and The Humber,61875,62271,62701,65056,65626,66668,67786,66743,67436,68899,67522,65136,64583,62602,63790,62886,61532,60844,58739,57422,57129,57754,59914,61391,64227,65102,67249,67774,68534,68708
Age 10,Yorkshire and The Humber,62772,61852,62159,62727,65008,65597,66604,67664,66655,67441,69013,67704,65418,64793,62723,63974,63183,61699,61074,58962,57644,57282,57914,60035,61515,64479,65341,67571,67951,68755
Age 11,Yorkshire and The Humber,63169,62821,61953,62204,62720,65150,65569,66592,67725,66574,67535,69003,67851,65559,64992,62782,64308,63354,61857,61344,59218,57911,57401,58123,60243,61747,64796,65540,67732,68249
Age 12,Yorkshire and The Humber,60774,63019,62693,61850,61974,62604,64917,65385,66602,67531,66509,67244,68897,67914,65749,65167,62914,64545,63585,62134,61624,59428,58070,57685,58385,60532,62025,65160,65768,68049
Age 13,Yorkshire and The Humber,55680,60851,63086,62767,61837,61993,62641,64943,65366,66625,67626,65962,66866,68774,67993,65779,65293,62906,64652,63762,62277,61738,59620,58229,57888,58691,60734,62311,65279,65911
Age 14,Yorkshire and The Humber,54706,55518,60647,62875,62488,61537,61663,62303,64747,65068,66525,67118,65525,66261,68581,67860,65915,65359,62873,64768,63884,62402,61841,59773,58362,58072,58886,60980,62482,65431
Age 15,Yorkshire and The Humber,57940,54795,55560,60689,62837,62398,61480,61506,62177,64515,65376,65911,66817,65095,66097,68624,68009,66231,65689,63075,65177,64027,62595,62142,60053,58725,58347,59174,61254,62769
Age 16,Yorkshire and The Humber,60354,58038,54798,55574,60691,62732,62330,61310,61557,62131,65098,65247,66094,66875,65299,66172,68788,68681,67039,66309,63654,65402,64242,62915,62590,60523,59226,58838,59578,61786
Age 17,Yorkshire and The Humber,62777,60050,57937,54750,55405,60431,62530,62155,61386,61329,62885,65171,65689,66148,67255,65296,66187,69572,69373,67457,66995,64490,66194,65177,64030,63417,61366,60171,59781,60655
Age 18,Yorkshire and The Humber,68443,62626,59446,56194,53392,54138,58821,60792,62064,61063,62121,63424,65966,66424,66907,67940,66151,67459,71087,70748,69540,68587,65497,67467,66672,65346,64554,62674,61645,60944
Age 19,Yorkshire and The Humber,75594,71157,64650,61585,60840,57925,58355,61544,65427,66058,66044,67351,70347,73007,74265,73936,75405,73982,75341,78817,79046,78294,75448,72547,74704,74613,72974,72308,70227,67701
Age 20,Yorkshire and The Humber,79991,75861,71011,66142,64122,63440,60736,60646,63851,68023,69100,69096,69914,73419,76665,77314,77015,78768,76692,79056,83180,83163,80548,77837,75388,77722,77206,75635,74927,73387
Age 21,Yorkshire and The Humber,78090,78668,74668,73706,66178,63930,62565,60211,59657,62643,67067,69051,68927,70544,74353,76418,77254,76039,77751,76923,79631,82907,82282,79863,77791,75208,76178,76889,74984,75007
Age 22,Yorkshire and The Humber,79073,76903,77182,74756,70547,63534,60613,59911,57238,57373,61630,66940,68597,69215,71526,73238,75650,75739,73604,76448,75352,77991,80971,80172,78907,77201,73691,75285,75686,74578
Age 23,Yorkshire and The Humber,78010,77337,75195,75301,71251,66931,60081,57687,58170,54564,55408,61161,66361,69087,70059,70937,72270,74147,73256,72027,74871,73472,75948,78828,78727,77507,75274,72548,73779,74649
Age 24,Yorkshire and The Humber,77777,76832,76237,71777,73346,69661,64960,59084,57413,56289,53830,55537,61246,67501,70087,70066,70738,71655,72543,72387,71162,73683,72275,74419,77840,77743,76513,74502,71378,73281
Age 25,Yorkshire and The Humber,78207,77682,76456,74248,71168,72766,69129,64650,59156,57070,55870,54120,55873,62011,68361,69669,69513,70226,70047,71405,71238,70422,72829,71055,73982,77402,77011,76208,73867,71357
Age 26,Yorkshire and The Humber,79394,78147,77183,75610,74115,71310,72637,69427,64000,59486,57657,56270,54482,56648,63421,68302,69577,69228,69118,69332,70806,70735,70057,72375,71030,74007,77045,76933,75743,74016
Age 27,Yorkshire and The Humber,79883,79008,77598,76607,75089,74022,71191,72552,68529,64074,60180,58168,56992,55458,57871,63786,68654,69528,68506,68546,68880,70359,70286,69471,72378,71105,73689,76983,76807,75891
Age 28,Yorkshire and The Humber,78512,79633,78680,77530,76229,74922,73883,71559,71902,69122,64747,60681,58979,58213,56928,58292,64494,69006,69017,68406,68414,68484,70232,69811,69548,72713,70843,73634,76817,77226
Age 29,Yorkshire and The Humber,76572,78225,79114,78422,77052,75687,74324,73921,71195,72043,69718,65444,61454,60012,59863,57780,59119,65210,68986,68952,68475,68229,68329,69802,69910,69873,72862,71062,73329,77131
Age 30,Yorkshire and The Humber,75455,76535,77921,78890,78300,77029,75564,74454,73554,71733,72612,70028,66038,62356,61101,60304,57987,59777,65285,69016,68586,68172,67965,68058,69910,70095,69734,72900,70909,73757
Age 31,Yorkshire and The Humber,72036,75143,76130,77622,78437,77918,76793,75434,74116,73788,72356,73185,70489,66880,63358,61596,60480,58597,59987,65405,68982,68365,67987,67581,68117,70124,69969,69821,72914,71262
Age 32,Yorkshire and The Humber,70228,71957,74766,76122,77332,78094,77577,76429,75160,74017,74218,72820,73831,71131,67797,63797,61834,61103,58905,60177,65660,68782,68215,67779,67552,68240,70063,70228,69823,73286
Age 33,Yorkshire and The Humber,69557,70308,71890,74816,76034,77227,77911,77637,76083,75302,74389,74554,73096,74458,71893,68271,63987,62524,61420,59183,60423,65519,68779,68161,67949,67725,68284,70258,70288,70102
Age 34,Yorkshire and The Humber,66911,69894,70388,72089,74744,76023,77034,77815,77217,76134,75741,74847,74919,73594,75344,72248,68572,64585,62922,61831,59492,60193,65371,68383,68226,67997,67838,68601,70182,70448
Age 35,Yorkshire and The Humber,65335,66925,69697,70207,71697,74272,75560,76605,76954,76894,76187,76077,75198,75399,74408,75710,72643,68855,64765,63223,62091,59320,59991,65175,68384,68336,67886,67967,68616,70141
Age 36,Yorkshire and The Humber,62447,65367,66941,69757,70002,71481,73891,75308,76168,76611,76859,76623,76432,75736,76032,74684,76341,72937,69080,65076,63550,61974,59238,59845,65302,68488,68449,68062,67993,68790
Age 37,Yorkshire and The Humber,64300,62689,65431,67175,69715,69960,71330,73806,74923,76075,76675,77097,76912,76750,76359,76178,75029,76668,72981,69286,65261,63437,61887,58983,59819,65352,68397,68554,68022,68037
Age 38,Yorkshire and The Humber,63711,64504,62873,65638,67293,69786,69838,71322,73475,74823,76195,76955,77350,77201,77158,76456,76438,75265,76890,73187,69564,65074,63442,61655,58995,59964,65360,68505,68567,68025
Age 39,Yorkshire and The Humber,62620,63548,64245,62741,65370,67092,69455,69553,70869,73051,74671,76522,77297,77618,77574,77306,76715,76587,75303,77250,73330,69535,65039,63260,61739,58996,60006,65283,68360,68556
Age 40,Yorkshire and The Humber,64898,62762,63472,64304,62812,65344,67094,69403,69262,70741,72998,75028,76709,77666,77961,77369,77394,76691,76665,75301,77291,73243,69469,64860,63266,61747,59066,59982,65258,68368
Age 41,Yorkshire and The Humber,66119,64811,62692,63396,64114,62720,65169,67021,69532,69216,70791,73286,75270,76883,77978,77756,77366,77412,76719,76601,75293,77094,73225,69196,64772,63167,61726,59063,59964,65271
Age 42,Yorkshire and The Humber,68885,66163,64754,62796,63328,64034,62689,65136,67058,69333,69221,71029,73397,75460,76984,77885,77795,77256,77382,76646,76583,75172,76982,73126,69113,64914,63179,61814,59068,60040
Age 43,Yorkshire and The Humber,73886,68811,66062,64666,62687,63190,63896,62699,64942,67113,69281,69413,71113,73514,75572,76776,77875,77746,77254,77245,76579,76266,75073,76826,72989,69109,64772,63242,61849,59014
Age 44,Yorkshire and The Humber,81003,73840,68644,65974,64459,62533,63052,63704,62573,64809,67119,69357,69502,71209,73621,75365,76684,77643,77588,77114,77123,76460,76155,74877,76709,73041,69058,64845,63203,61949
Age 45,Yorkshire and The Humber,61966,80510,73708,68490,65823,64290,62423,62729,63477,62569,64766,66989,69375,69602,71319,73557,75235,76535,77537,77416,76969,76964,76403,75973,74879,76766,72986,68980,64857,63214
Age 46,Yorkshire and The Humber,61697,62059,80022,73581,68276,65648,64064,62279,62576,63312,62566,64667,66990,69434,69638,71214,73339,75215,76468,77388,77226,76718,76831,76322,75971,74898,76704,72964,68932,64777
Age 47,Yorkshire and The Humber,61328,61751,62137,79697,73415,68076,65438,63876,62219,62463,63294,62352,64716,67028,69395,69575,71024,73189,75140,76354,77335,77006,76477,76709,76286,75935,74678,76635,72860,68814
Age 48,Yorkshire and The Humber,57322,61023,61603,62037,79085,73130,67787,65174,63558,62095,62292,63108,62241,64828,66945,69283,69260,70988,72998,75022,76170,77252,76938,76394,76643,76142,75820,74629,76477,72719
Age 49,Yorkshire and The Humber,52983,57282,60802,61591,61948,78665,72942,67592,65003,63281,62060,62203,63140,62248,64801,66720,69098,69205,70826,72761,74899,75930,77080,76896,76220,76564,76025,75687,74570,76350
Age 50,Yorkshire and The Humber,49877,52766,57126,60506,61430,61860,78109,72732,67214,64854,63143,61857,62140,63005,62142,64579,66444,68961,69025,70642,72639,74731,75768,76857,76781,76144,76508,76031,75683,74494
Age 51,Yorkshire and The Humber,53238,49807,52581,57044,60224,61246,61739,77648,72575,67113,64769,62961,61640,62103,62931,61852,64399,66429,68692,68765,70598,72423,74520,75673,76784,76736,76085,76421,76019,75629
Age 52,Yorkshire and The Humber,54157,52990,49591,52365,56727,59872,60996,61559,77167,72394,66938,64556,62804,61360,62095,62666,61537,64377,66142,68420,68597,70362,72233,74299,75583,76659,76517,75936,76333,75875
Age 53,Yorkshire and The Humber,54400,53910,52745,49473,52098,56500,59581,60786,61421,76740,72196,66729,64260,62629,61164,61909,62433,61378,64226,65770,68177,68369,70042,72118,74121,75416,76528,76447,75836,76334
Age 54,Yorkshire and The Humber,53220,54226,53647,52586,49289,51892,56306,59251,60690,61404,76184,71904,66418,63975,62449,60793,61740,62356,61129,63954,65526,67928,68034,69843,71950,73932,75220,76380,76310,75692
Age 55,Yorkshire and The Humber,52483,53027,53956,53361,52254,49001,51573,55988,58906,60563,61274,76115,71405,66102,63672,62181,60507,61451,62148,60858,63775,65311,67681,67820,69632,71794,73756,75047,76223,76179
Age 56,Yorkshire and The Humber,51340,52219,52787,53694,53003,52009,48787,51309,55799,58478,60311,60887,75855,71041,65789,63338,61834,60133,61289,61920,60571,63521,65073,67346,67567,69423,71540,73456,74786,76048
Age 57,Yorkshire and The Humber,49868,50935,51815,52412,53250,52591,51616,48470,50946,55532,58150,59978,60357,75684,70573,65399,62964,61439,59825,61043,61660,60181,63202,64813,67140,67386,69196,71321,73297,74582
Age 58,Yorkshire and The Humber,49510,49536,50565,51470,52037,52888,52189,51251,48175,50578,55176,58001,59466,59903,75435,70048,64965,62586,61138,59477,60751,61311,59870,62814,64617,66821,67112,68873,70967,73068
Age 59,Yorkshire and The Humber,49860,49117,49103,50095,51031,51610,52450,51683,50838,47859,50206,54952,57629,59020,59395,75154,69452,64422,62263,60734,59073,60413,60941,59559,62505,64375,66586,66834,68593,70589
Age 60,Yorkshire and The Humber,50949,49352,48694,48636,49645,50526,51167,51936,51212,50454,47523,49909,54513,57318,58395,58731,74578,68882,63888,61800,60267,58663,60089,60550,59286,62239,63952,66266,66479,68211
Age 61,Yorkshire and The Humber,50571,50432,48863,48236,48162,49167,49970,50708,51580,50769,50037,47139,49503,54040,56829,57793,57907,74194,68229,63456,61303,59812,58210,59706,60199,58973,61831,63537,65872,66119
Age 62,Yorkshire and The Humber,49299,49913,49792,48205,47654,47608,48604,49413,50194,51005,50274,49654,46685,49028,53444,56258,57060,57299,73784,67574,62890,60802,59314,57816,59313,59806,58597,61474,63137,65501
Age 63,Yorkshire and The Humber,49142,48653,49186,49087,47502,46999,46938,47975,48880,49686,50518,49814,49203,46186,48479,52768,55570,56439,56635,73445,66884,62402,60249,58851,57415,58935,59350,58233,61066,62686
Age 64,Yorkshire and The Humber,49736,48248,47848,48405,48316,46808,46338,46328,47405,48267,49228,50013,49274,48584,45512,47772,52050,55115,55799,55987,72913,66269,61830,59714,58360,56904,58344,58952,57747,60578
Age 65,Yorkshire and The Humber,50110,48961,47368,47103,47634,47567,46084,45709,45707,46784,47721,48580,49343,48652,47893,44671,47104,51577,54590,55160,55302,72174,65545,61294,59169,57788,56394,57902,58521,57274
Age 66,Yorkshire and The Humber,49481,48937,47872,46329,46133,46616,46581,45249,44860,44974,46107,47091,47879,48622,48000,47066,44010,46580,50957,54107,54399,54691,71412,64892,60630,58562,57262,55849,57371,57871
Age 67,Yorkshire and The Humber,48659,48291,47725,46779,45289,45174,45653,45648,44421,44104,44295,45371,46242,47147,47848,47183,46363,43412,45918,50268,53533,53752,54044,70620,64135,60029,57824,56650,55241,56737
Age 68,Yorkshire and The Humber,47617,47371,47144,46543,45668,44231,44192,44672,44738,43585,43400,43495,44669,45382,46311,46956,46354,45615,42730,45253,49530,52846,52986,53271,69783,63345,59290,57128,56017,54526
Age 69,Yorkshire and The Humber,49364,46344,46095,45917,45327,44535,43139,43156,43642,43740,42703,42566,42635,43835,44495,45323,46044,45557,44940,42034,44555,48823,52096,52264,52509,68801,62557,58522,56236,55251
Age 70,Yorkshire and The Humber,50771,47905,44989,44737,44598,43958,43225,42030,42038,42491,42736,41797,41541,41768,42927,43563,44461,45146,44716,44059,41167,43756,47989,51240,51534,51728,67781,61626,57628,55394
Age 71,Yorkshire and The Humber,50201,49008,46310,43508,43340,43138,42571,41905,40775,40887,41369,41575,40752,40558,40784,41927,42663,43530,44306,43871,43157,40333,42943,47162,50408,50636,50826,66601,60633,56588
Age 72,Yorkshire and The Humber,33377,48288,47285,44582,41977,41731,41567,41109,40604,39565,39732,40242,40431,39738,39629,39805,40961,41673,42486,43458,42957,42299,39489,42068,46338,49483,49699,49823,65446,59617
Age 73,Yorkshire and The Humber,30965,32272,46375,45420,42869,40374,40134,40081,39646,39203,38292,38541,39057,39250,38599,38468,38748,39994,40667,41482,42432,41912,41341,38644,41151,45328,48434,48686,48836,64056
Age 74,Yorkshire and The Humber,32827,29596,31084,44324,43587,41053,38702,38465,38428,38105,37843,36931,37224,37815,38016,37454,37317,37675,38890,39596,40444,41331,40888,40382,37638,40092,44295,47218,47543,47725
Age 75,Yorkshire and The Humber,34439,31427,28328,29829,42322,41702,39268,37086,36747,36763,36671,36522,35559,35853,36536,36743,36259,36154,36604,37757,38426,39287,40199,39794,39346,36620,39015,43150,46006,46341
Age 76,Yorkshire and The Humber,34844,32653,29868,26776,28496,40128,39650,37379,35208,34993,35151,35070,34980,34136,34464,35137,35363,34932,34815,35434,36559,37261,38039,39057,38552,38234,35555,37900,41925,44616
Age 77,Yorkshire and The Humber,33291,32861,30697,28132,25328,27150,37877,37616,35456,33371,33335,33477,33367,33307,32631,32951,33751,34004,33521,33474,34166,35349,36034,36759,37771,37225,36998,34444,36700,40537
Age 78,Yorkshire and The Humber,30587,31242,30904,28896,26522,23849,25690,35671,35497,33458,31594,31528,31740,31599,31733,31143,31433,32264,32601,32168,32145,32909,34020,34749,35452,36409,35857,35625,33250,35215
Age 79,Yorkshire and The Humber,28337,28721,29306,28812,27001,24814,22311,24309,33237,33376,31537,29837,29823,29917,29813,30036,29589,29911,30705,31072,30730,30797,31516,32651,33347,34025,34883,34408,34253,31756
Age 80,Yorkshire and The Humber,25528,26262,26761,26968,26775,24956,23085,20833,22903,30933,31319,29557,27938,27946,28119,28147,28275,27957,28289,29134,29534,29286,29266,30152,31102,31806,32410,33234,32929,32598
Age 81,Yorkshire and The Humber,23703,23550,24262,24653,24982,24709,22952,21355,19298,21508,28637,29145,27503,26035,26101,26378,26392,26522,26280,26701,27455,27973,27726,27823,28583,29532,30279,30804,31701,31068
Age 82,Yorkshire and The Humber,21635,21632,21537,22122,22680,22846,22563,20991,19544,17748,20275,26440,26810,25423,24146,24300,24454,24568,24811,24603,25037,25772,26289,26145,26171,26903,27830,28529,29108,29781
Age 83,Yorkshire and The Humber,19334,19644,19711,19584,20140,20708,20694,20454,18997,17857,16255,18599,24104,24383,23359,22273,22434,22559,22829,23012,22879,23349,24013,24562,24343,24391,25217,26105,26859,27118
Age 84,Yorkshire and The Humber,16885,17438,17657,17648,17679,18018,18626,18673,18459,17069,16197,14750,17038,21766,22138,21379,20375,20567,20624,21029,21261,21045,21555,22251,22723,22620,22573,23247,24304,24853
Age 85,Yorkshire and The Humber,-,-,-,-,-,-,-,-,-,-,15569,14631,13191,15422,19522,20052,19401,18506,18698,18710,19210,19361,19138,19728,20384,20856,20751,20670,21488,22259
